CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031408111422004VY0F;16/01/2021;18;0,128;R
ES0031408111422004VY0F;16/01/2021;19;0,332;R
ES0031408111422004VY0F;16/01/2021;20;0,353;R
ES0031408111422004VY0F;16/01/2021;21;0,608;R
ES0031408111422004VY0F;16/01/2021;22;0,366;R
ES0031408111422004VY0F;16/01/2021;23;1,271;R
ES0031408111422004VY0F;17/01/2021;0;0,394;R
ES0031408111422004VY0F;17/01/2021;1;0,179;R
ES0031408111422004VY0F;17/01/2021;2;0,164;R
ES0031408111422004VY0F;17/01/2021;3;0,145;R
ES0031408111422004VY0F;17/01/2021;4;0,139;R
ES0031408111422004VY0F;17/01/2021;5;0,169;R
ES0031408111422004VY0F;17/01/2021;6;0,183;R
ES0031408111422004VY0F;17/01/2021;7;0,156;R
ES0031408111422004VY0F;17/01/2021;8;0,2;R
ES0031408111422004VY0F;17/01/2021;9;0,276;R
ES0031408111422004VY0F;17/01/2021;10;0,263;R
ES0031408111422004VY0F;17/01/2021;11;0,273;R
ES0031408111422004VY0F;17/01/2021;12;0,521;R
ES0031408111422004VY0F;17/01/2021;13;0,139;R
ES0031408111422004VY0F;17/01/2021;14;0,132;R
ES0031408111422004VY0F;17/01/2021;15;0,168;R
ES0031408111422004VY0F;17/01/2021;16;0,182;R
ES0031408111422004VY0F;17/01/2021;17;0,244;R
ES0031408111422004VY0F;17/01/2021;18;0,267;R
ES0031408111422004VY0F;17/01/2021;19;0,234;R
ES0031408111422004VY0F;17/01/2021;20;0,332;R
ES0031408111422004VY0F;17/01/2021;21;0,556;R
ES0031408111422004VY0F;17/01/2021;22;0,399;R
ES0031408111422004VY0F;17/01/2021;23;0,303;R
ES0031408111422004VY0F;18/01/2021;0;0,183;R
ES0031408111422004VY0F;18/01/2021;1;0,213;R
ES0031408111422004VY0F;18/01/2021;2;0,188;R
ES0031408111422004VY0F;18/01/2021;3;0,156;R
ES0031408111422004VY0F;18/01/2021;4;0,15;R
ES0031408111422004VY0F;18/01/2021;5;0,139;R
ES0031408111422004VY0F;18/01/2021;6;0,123;R
ES0031408111422004VY0F;18/01/2021;7;0,129;R
ES0031408111422004VY0F;18/01/2021;8;0,204;R
ES0031408111422004VY0F;18/01/2021;9;0,426;R
ES0031408111422004VY0F;18/01/2021;10;0,278;R
ES0031408111422004VY0F;18/01/2021;11;0,36;R
ES0031408111422004VY0F;18/01/2021;12;0,33;R
ES0031408111422004VY0F;18/01/2021;13;0,283;R
ES0031408111422004VY0F;18/01/2021;14;0,761;R
ES0031408111422004VY0F;18/01/2021;15;0,419;R
ES0031408111422004VY0F;18/01/2021;16;1,369;R
ES0031408111422004VY0F;18/01/2021;17;0,844;R
ES0031408111422004VY0F;18/01/2021;18;0,275;R
ES0031408111422004VY0F;18/01/2021;19;0,21;R
ES0031408111422004VY0F;18/01/2021;20;0,343;R
ES0031408111422004VY0F;18/01/2021;21;0,398;R
ES0031408111422004VY0F;18/01/2021;22;0,318;R
ES0031408111422004VY0F;18/01/2021;23;0,317;R
ES0031408111422004VY0F;19/01/2021;0;0,218;R
ES0031408111422004VY0F;19/01/2021;1;0,196;R
ES0031408111422004VY0F;19/01/2021;2;0,179;R
ES0031408111422004VY0F;19/01/2021;3;0,178;R
ES0031408111422004VY0F;19/01/2021;4;0,15;R
ES0031408111422004VY0F;19/01/2021;5;0,173;R
ES0031408111422004VY0F;19/01/2021;6;0,204;R
ES0031408111422004VY0F;19/01/2021;7;0,194;R
ES0031408111422004VY0F;19/01/2021;8;0,262;R
ES0031408111422004VY0F;19/01/2021;9;0,377;R
ES0031408111422004VY0F;19/01/2021;10;0,213;R
ES0031408111422004VY0F;19/01/2021;11;0,181;R
ES0031408111422004VY0F;19/01/2021;12;0,334;R
ES0031408111422004VY0F;19/01/2021;13;0,247;R
ES0031408111422004VY0F;19/01/2021;14;0,354;R
ES0031408111422004VY0F;19/01/2021;15;0,412;R
ES0031408111422004VY0F;19/01/2021;16;0,31;R
ES0031408111422004VY0F;19/01/2021;17;0,319;R
ES0031408111422004VY0F;19/01/2021;18;0,213;R
ES0031408111422004VY0F;19/01/2021;19;0,256;R
ES0031408111422004VY0F;19/01/2021;20;0,369;R
ES0031408111422004VY0F;19/01/2021;21;0,359;R
ES0031408111422004VY0F;19/01/2021;22;0,367;R
ES0031408111422004VY0F;19/01/2021;23;0,744;R
ES0031408111422004VY0F;20/01/2021;0;0,881;R
ES0031408111422004VY0F;20/01/2021;1;0,221;R
ES0031408111422004VY0F;20/01/2021;2;0,193;R
ES0031408111422004VY0F;20/01/2021;3;0,185;R
ES0031408111422004VY0F;20/01/2021;4;0,184;R
ES0031408111422004VY0F;20/01/2021;5;0,183;R
ES0031408111422004VY0F;20/01/2021;6;0,181;R
ES0031408111422004VY0F;20/01/2021;7;0,182;R
ES0031408111422004VY0F;20/01/2021;8;0,316;R
ES0031408111422004VY0F;20/01/2021;9;0,463;R
ES0031408111422004VY0F;20/01/2021;10;0,297;R
ES0031408111422004VY0F;20/01/2021;11;0,342;R
ES0031408111422004VY0F;20/01/2021;12;0,224;R
ES0031408111422004VY0F;20/01/2021;13;0,258;R
ES0031408111422004VY0F;20/01/2021;14;0,435;R
ES0031408111422004VY0F;20/01/2021;15;0,858;R
ES0031408111422004VY0F;20/01/2021;16;1,072;R
ES0031408111422004VY0F;20/01/2021;17;0,537;R
ES0031408111422004VY0F;20/01/2021;18;0,32;R
ES0031408111422004VY0F;20/01/2021;19;0,443;R
ES0031408111422004VY0F;20/01/2021;20;0,529;R
ES0031408111422004VY0F;20/01/2021;21;0,382;R
ES0031408111422004VY0F;20/01/2021;22;0,3;R
ES0031408111422004VY0F;20/01/2021;23;0,312;R
ES0031408111422004VY0F;21/01/2021;0;0,287;R
ES0031408111422004VY0F;21/01/2021;1;0,234;R
ES0031408111422004VY0F;21/01/2021;2;0,191;R
ES0031408111422004VY0F;21/01/2021;3;0,181;R
ES0031408111422004VY0F;21/01/2021;4;0,176;R
ES0031408111422004VY0F;21/01/2021;5;0,155;R
ES0031408111422004VY0F;21/01/2021;6;0,134;R
ES0031408111422004VY0F;21/01/2021;7;0,142;R
ES0031408111422004VY0F;21/01/2021;8;0,253;R
ES0031408111422004VY0F;21/01/2021;9;0,354;R
ES0031408111422004VY0F;21/01/2021;10;0,206;R
ES0031408111422004VY0F;21/01/2021;11;0,278;R
ES0031408111422004VY0F;21/01/2021;12;0,324;R
ES0031408111422004VY0F;21/01/2021;13;0,336;R
ES0031408111422004VY0F;21/01/2021;14;0,369;R
